date,visitors,conversion_rate,orders,revenue,refunds,marketing_spend,is_anomaly,anomaly_type,max_z_score,zscore_anomaly,isolation_forest_prediction,isolation_forest_anomaly,isolation_forest_score
2025-01-01,12496,4.059572834839957,507,514943.483546762,22,44596.41709945709,False,normal,0.3446972138697141,False,1,False,0.15154356148632503
2025-01-02,11861,4.278432368633646,507,467317.2001399343,13,41457.96616544769,False,normal,1.1828395880828972,False,1,False,0.10577073213274535
2025-01-03,12647,4.204407340273629,531,548342.5770627507,27,37431.42803693587,False,normal,1.5362582142169507,False,1,False,0.11493009251376296
2025-01-04,13523,4.234186634492091,572,494089.7742700764,24,35984.301618720274,False,normal,1.835350432166539,False,1,False,0.07049501059619856
2025-01-05,11765,3.9294465756505863,462,500037.5923555558,25,37079.32028497255,False,normal,1.6090318759830113,False,1,False,0.1281616056241645
2025-01-06,11765,4.20857856099063,495,513714.8603035564,19,46335.633255057415,False,normal,0.6240780052741085,False,1,False,0.14712310151222885
2025-01-07,13579,4.374299401935907,593,605146.0505958502,22,47543.62511614967,False,normal,1.4798511036214186,False,1,False,0.09463197269290152
2025-01-08,12767,4.7079002627282645,601,648247.7825081003,20,37094.04648983933,False,normal,1.8172477111578424,False,1,False,0.043373488889129896
2025-01-09,11530,4.535744789129822,522,591550.2128007573,40,49475.19157038058,False,normal,1.3315875345566524,False,1,False,0.05660824979088147
2025-01-10,12542,4.953613860129045,621,671393.9048301007,28,42584.6947415828,False,normal,2.111493092852342,False,1,False,0.02633284335125452
2025-01-11,11536,3.9314283529891823,453,386286.7178565411,31,45733.965059927745,False,normal,1.512935737506905,False,1,False,0.11393587809129657
2025-01-12,11534,4.505312222852237,519,465871.96434113366,28,53061.10314127712,False,normal,1.694084438606106,False,1,False,0.09919670267301678
2025-01-13,12241,4.264169702008424,521,494957.5616816441,35,49484.19657932766,False,normal,0.9548090694707213,False,1,False,0.11566550993441715
2025-01-14,10086,4.966431026626186,500,501043.64200843335,25,43657.346760470835,False,normal,1.9105720490502298,False,1,False,0.053307557611171674
2025-01-15,10275,3.917095600125698,402,418647.914098287,32,40544.03887292357,False,normal,1.5680327242307242,False,1,False,0.06998618600562612
2025-01-16,11437,3.906097355236728,446,420105.46074668434,28,34240.92299335347,False,normal,2.1956720828691925,False,1,False,0.0816122162123446
2025-01-17,10987,3.990212574094592,438,444544.3074272768,20,41404.2334037879,False,normal,0.9935624739549276,False,1,False,0.1347467482041993
2025-01-18,12314,3.456636496491568,425,399316.9802999871,23,43944.348805861526,False,normal,1.7215359131286914,False,1,False,0.08875206278357706
2025-01-19,11091,4.015985742411734,445,423229.9662134867,18,40064.10236424408,False,normal,1.043294211267677,False,1,False,0.11956030883068691
2025-01-20,10587,3.934303568456206,416,369186.3186968912,26,44343.71516453847,False,normal,1.7303247847028076,False,1,False,0.090415601861154
2025-01-21,13465,4.252637825266673,572,529752.846657965,32,45384.25941479384,False,normal,1.144743457627204,False,1,False,0.10106299267409469
2025-01-22,11774,4.319614591522006,508,453067.53762775223,22,43875.72009095961,False,normal,0.6639836957744423,False,1,False,0.1478397396949251
2025-01-23,12067,4.85665979372556,586,540251.0619004227,30,41749.9870958827,False,normal,1.6464957386128012,False,1,False,0.07319598287256185
